keyword,frequency,cluster,intent,page_type,url,existing,action,priority,city
технониколь купить,12399,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
кровля цена,12220,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
ремонт кровли,12155,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
панели для фасада,11401,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
какую кровлю,11331,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
гидроизоляция технониколь,11322,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
отделка фасада,11171,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
фасад здания,11086,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
черепица технониколь,10886,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
технониколь цена,10517,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
сайдинг виниловый,10516,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
штукатурка фасада,10446,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
монтаж кровли,10411,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
краска для фасада,10378,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
фасад цена,10367,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
под кровлю,10363,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
металлический сайдинг,10286,Сайдинг металлический,commercial,category,/catalog/metallicheskiy,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
цвет фасада,10254,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
фиброцементный сайдинг,9696,Сайдинг фиброцементный,commercial,category,/catalog/fibrotsementnyy,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
гидроизоляция кровли,9380,Гидроизоляция / пароизоляция / мембраны,commercial,category,/catalog/gidroizolyatsiya,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
деревянный фасад,9169,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
плитка технониколь,8522,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
жидкая кровля,8005,Жидкая кровля / жидкая резина,commercial,category-gap,,none,Создать категорию в каталоге (нет ни одного товара под кластер),P1,
фото фасада,7913,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь официальный,7800,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь сайт,7788,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь мягкая,7776,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
планки для кровли,7721,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
планка для кровли,7721,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
вентилируемый фасад,7652,Вентилируемый фасад,commercial,category,/catalog/group/fasadnye-materialy,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь битумная,7524,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
фасадная плитка технониколь,7486,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
клинкерный фасад,7464,Клинкерная плитка/кирпич для фасада,commercial,category,/catalog/fasadnaya-plitka,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь официальный сайт,7303,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь 50,7297,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
отделка сайдингом цена,7051,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
гибкий фасад,7035,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
кровля металлочерепица,6920,Металлочерепица,commercial,category,/catalog/metallocherepitsa,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
гибкий технониколь,6914,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
обшивка сайдингом,6774,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
монтаж сайдинга,6749,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг для наружной цена,6724,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
ли фасад,6707,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг для дома цена,6652,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
мастика технониколь,6572,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сайдинг для наружной отделки цена,6563,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
плитка для фасада,6265,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
лента для кровли,6200,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
панели технониколь,5905,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
гибкая черепица технониколь,5884,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
праймер технониколь,5863,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
белый фасад,5800,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг для отделки дома цена,5771,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
наружный сайдинг для дома цена,5739,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг кирпич,5676,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг для наружной отделки дома цена,5665,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
подшивка кровли,5642,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
кирпич для фасада,5571,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
битумная кровля,5492,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
мокрый фасад,5465,Мокрый фасад / штукатурный фасад,commercial,category-gap,,none,Создать категорию в каталоге (нет ни одного товара под кластер),P1,
ремонт фасада,5359,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
мм фасады,5334,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
металлическая кровля,5257,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь hauberk,5257,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
герметик для кровли,5232,Герметики и мастики,commercial,category,/catalog/germetiki,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
сайдинг брус,5199,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
мембрана для кровли,5123,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
крепление фасада,5119,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг деке,5094,Docke/Деке — бренд-хаб,commercial,brand,/catalog/brand/docke,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
софиты для кровли,5089,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
герметик технониколь,5083,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
фасад машина,5063,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг фото,5014,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
устройство кровли,4981,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь фундамент,4912,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
обшивка дома сайдингом,4878,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
мембрана технониколь,4877,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
дом технониколь,4855,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
отделка сайдингом под,4818,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
софиты для подшивки кровли,4791,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
камень для фасада,4739,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
цокольный сайдинг,4663,Сайдинг цокольный,commercial,category,/catalog/cokolnyy,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
дома под сайдингом,4609,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
отделка фасада дома,4608,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь рулонный,4560,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
монтаж фасада,4550,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
мягкая кровля технониколь,4523,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
обшить дом сайдингом,4522,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь 50 мм,4500,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сайдинг под кирпич,4467,Сайдинг под дерево/брус/бревно/камень/кирпич,commercial,category,/catalog/pod-derevo,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
декоративный фасад,4442,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь кирпич,4420,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
гранд лайн официальный,4398,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
рулонная кровля,4319,Плоская/рулонная/наплавляемая кровля,commercial,category-gap,,none,Создать категорию в каталоге (нет ни одного товара под кластер),P1,
утепление фасада,4269,Утепление фасада,commercial,category,/catalog/uteplitel,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фиброцементный фасад,4252,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг для наружной отделки под,4229,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
мастика для кровли,4158,Герметики и мастики,commercial,category,/catalog/germetiki,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
сайдинг цвета,4145,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
клинкерная плитка для фасада,4101,Клинкерная плитка/кирпич для фасада,commercial,category,/catalog/fasadnaya-plitka,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
матовые фасады,4081,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайт гранд лайн,4081,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сколько кровля,4075,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь hauberk фасадная,4073,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
наружный фасад,4040,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
гранд лайн официальный сайт,4037,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь монтаж,4012,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
работа фасад,4010,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
xps технониколь,3999,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
покраска фасада,3963,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
фасадные панели технониколь,3962,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
фасадов отзывы,3928,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь carbon,3903,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
лента технониколь,3859,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
ral grand line,3838,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
жидкая резина для кровли,3821,Жидкая кровля / жидкая резина,commercial,category-gap,,none,Создать категорию в каталоге (нет ни одного товара под кластер),P1,
плитка технониколь hauberk,3804,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сколько сайдинга,3790,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь м,3782,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сайдинг дерево,3778,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
фасадная плитка технониколь hauberk,3760,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
профиль для сайдинга,3754,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
м2 технониколь,3751,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
пена технониколь,3749,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
без фасадов,3705,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
облицовка фасада,3658,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь 100,3657,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
алюминиевые фасады,3628,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
кровля м2,3612,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь мастер,3606,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
праймер битумный технониколь,3522,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сайдинг своими руками,3518,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
примыкание кровли,3510,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
плиты технониколь,3477,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
серый фасад,3472,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
кровля черепица,3452,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь оптима,3444,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
наплавляемая кровля,3409,Плоская/рулонная/наплавляемая кровля,commercial,category-gap,,none,Создать категорию в каталоге (нет ни одного товара под кластер),P1,
фасад м2,3406,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг панели,3405,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
хорошая кровля,3402,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
краска для деревянных фасадов,3376,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сколько фасад,3367,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
можно ли фасад,3361,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь роклайт,3348,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
